Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date
Tata Investment Corporation Limited,0.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
AfTaab Investment Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Tata Industries Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Tata Capital Ltd,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
The Tata Power Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Tata Steel Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Tata International Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
JAMSETJI TATA TRUST Mr RNTata Mr Vijay Singh,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
NAVAJBAI RATAN TATA TRUST Mr RN Tata Mr Vija,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
FIIs,13.05,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
DIIs,8.53,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Life Insurance Corporation of India,4.16,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Government,0.05,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Public,6.06,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2022,01-09-2022
Promoters,72.3,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
Tata Sons Private Limited,72.27,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
Tata Investment Corporation Limited,0.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
AfTaab Investment Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
Tata Industries Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
Tata Capital Ltd,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
The Tata Power Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
Tata Steel Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
Tata International Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
JAMSETJI TATA TRUST Mr RNTata Mr Vijay Singh,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
NAVAJBAI RATAN TATA TRUST Mr RN Tata Mr Vija,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
FIIs,12.94,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
DIIs,9.25,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
Life Insurance Corporation of India,4.41,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
Government,0.05,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
Public,5.45,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2022,01-12-2022
Promoters,72.3,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
Tata Sons Private Limited,72.27,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
Tata Investment Corporation Limited,0.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
AfTaab Investment Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
Tata Industries Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
Tata Capital Ltd,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
The Tata Power Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
Tata Steel Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
Tata International Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
NAVAJBAI RATAN TATA TRUST Mr RN Tata Mr Vija,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
JAMSETJI TATA TRUST Mr RN Tata Mr Vijay Sing,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
FIIs,12.72,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
DIIs,9.58,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
Life Insurance Corporation of India,4.47,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
Government,0.05,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
Public,5.36,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2023,01-03-2023
Promoters,72.3,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
Tata Sons Private Limited,72.27,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
Tata Investment Corporation Limited,0.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
