Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date
FIIs,23.54,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
Wf Asian Reconnaissance Fund Limited,9.49,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
Hwic Asia Fund Class A Shares,8.39,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
Bank Muscat India Fund,3.29,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
Lobco Limited,1.02,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
DIIs,0.0,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
Public,43.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
Others,0.01,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2023,01-06-2023
Promoters,33.27,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
Nirmal Bhanwarlal Jain,20.18,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
Madhu N Jain,6.0,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
Venkataraman Rajamani,4.13,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
Aditi Avinash Athavankar,2.34,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
Ardent Impex Pvt Ltd,0.35,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
Orpheus Trading Pvt Ltd,0.17,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
Aditi Athavankar,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
Nirmal Madhu Family Private Trust,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
FIIs,23.08,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
Wf Asian Reconnaissance Fund Limited,9.45,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
Hwic Asia Fund Class A Shares,8.36,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
Bank Muscat India Fund,3.28,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
DIIs,0.0,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
Public,43.63,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
Others,0.01,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Sep 2023,01-09-2023
Promoters,32.84,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
Nirmal Bhanwarlal Jain,19.92,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
Madhu N Jain,5.92,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
Venkataraman Rajamani,4.08,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
Aditi Avinash Athavankar,2.31,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
Ardent Impex Pvt Ltd,0.35,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
Orpheus Trading Pvt Ltd,0.17,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
Aditi Athavankar,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
Nirmal Madhu Family Private Trust,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
FIIs,22.37,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
Wf Asian Reconnaissance Fund Limited,9.33,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
Hwic Asia Fund Class A Shares,8.25,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
Bank Muscat India Fund,3.24,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
DIIs,0.2,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
Public,44.57,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
Others,0.01,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Dec 2023,01-12-2023
Promoters,32.8,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
Nirmal Bhanwarlal Jain,19.89,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
Madhu N Jain,5.92,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
Venkataraman Rajamani,4.07,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
Aditi Avinash Athavankar,2.31,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
Ardent Impex Pvt Ltd,0.35,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
Orpheus Trading Pvt Ltd,0.17,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
Aditi Athavankar,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
Nirmal Madhu Family Private Trust,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
FIIs,22.66,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
Wf Asian Reconnaissance Fund Limited,9.32,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
Hwic Asia Fund Class A Shares,8.24,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
Bank Muscat India Fund,3.23,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
DIIs,0.29,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
Public,44.24,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
Others,0.01,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Mar 2024,01-03-2024
Promoters,32.78,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
Nirmal Bhanwarlal Jain,19.88,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
Madhu N Jain,5.91,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
Venkataraman Rajamani,4.07,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
Aditi Avinash Athavankar,2.31,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
Ardent Impex Pvt Ltd,0.35,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
Orpheus Trading Pvt Ltd,0.17,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
Aditi Athavankar,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
Nirmal Madhu Family Private Trust,0.05,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
FIIs,22.7,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
Wf Asian Reconnaissance Fund Limited,9.31,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
Hwic Asia Fund Class A Shares,8.24,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
Bank Muscat India Fund,3.23,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
Magna Umbrella Fund Plc  Magna Em Income And Growth Fund,1.15,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
DIIs,0.25,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
Public,44.27,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
Others,0.01,540776,5PAISA,530.0,16530000000.0,31188679.24528302,Jun 2024,01-06-2024
