,Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date,ch
440597,Ventex Trade Private Limited,5.08,538562,SKIPPER,433.0,47450000000.0,109584295.61200924,Jun 2024,01-06-2024,up
440783,Ayush Bhatia,0.87,540703,,13.1,67000000.0,5114503.816793893,Jun 2024,01-06-2024,up
443576,Farukbhai Gulambhai Patel,53.04,542323,KPIGREEN,927.0,121670000000.0,131251348.43581446,Jun 2024,01-06-2024,up
444115,Gangadhar Srinivas Velamati,15.96,505232,,1650.0,7430000000.0,4503030.303030303,Jun 2024,01-06-2024,up
444255,Varsha Jitendra Vakharia,19.44,514358,,151.0,937000000.0,6205298.013245033,Jun 2024,01-06-2024,up
444472,Suresh Pukhraj Jain,61.79,539115,,88.6,322000000.0,3634311.51241535,Jun 2024,01-06-2024,up
445134,Indiraben Vinodbhai Kansagara,8.33,526073,,1421.0,4520000000.0,3180858.5503166784,Jun 2024,01-06-2024,up
451186,Karamjit Jaiswal,43.76,507621,,170.0,4140000000.0,24352941.17647059,Jun 2024,01-06-2024,up
451971,Adani Tradeline Private Limited Formerly Adani T,6.4,532921,ADANIPORTS,1491.0,3221420000000.0,2160576794.097921,Jun 2024,01-06-2024,up
453035,Umang Dhanuka,0.69,506734,,226.0,1490000000.0,6592920.3539823005,Jun 2024,01-06-2024,up
454064,Lalita Poddar,0.03,526877,,19.4,64400000.00000001,3319587.62886598,Jun 2024,01-06-2024,up
455362,Amit Mukund Doshi,2.44,511754,,739.0,5170000000.0,6995940.460081191,Jun 2024,01-06-2024,up
455446,Rameshbhai Bhimjibhai Patel,24.5,541778,,86.0,2080000000.0,24186046.51162791,Jun 2024,01-06-2024,up
457558,B Venkatswamy,0.01,524572,,45.5,1600000000.0,35164835.16483516,Jun 2024,01-06-2024,up
459704,Late Himanshu Agrawal,2.76,538961,GENUSPAPER,27.3,7030000000.0,257509157.5091575,Jun 2024,01-06-2024,up
464390,Firstview Trading Private Limited,31.81,522101,,472.0,19740000000.0,41822033.89830509,Jun 2024,01-06-2024,up
464786,Kisanlal Bastiram Sarda,24.61,509887,,724.0,290000000.0,400552.4861878453,Jun 2024,01-06-2024,up
