Promoter,,Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date,Share_Change,ch
President Of India,5395,President Of India,56.89,500108,MTNL,61.6,38780000000.0,629545454.5454545,Sep 2021,01-09-2021,,EQUAL
President Of India,5396,President Of India,56.89,500108,MTNL,61.6,38780000000.0,629545454.5454545,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,5397,President Of India,56.89,500108,MTNL,61.6,38780000000.0,629545454.5454545,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,5398,President Of India,56.89,500108,MTNL,61.6,38780000000.0,629545454.5454545,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,5399,President Of India,56.89,500108,MTNL,61.6,38780000000.0,629545454.5454545,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,5400,President Of India,56.82,500108,MTNL,61.6,38780000000.0,629545454.5454545,Dec 2022,01-12-2022,-0.12304447178765887,Down
President Of India,5401,President Of India,56.82,500108,MTNL,61.6,38780000000.0,629545454.5454545,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,5402,President Of India,56.82,500108,MTNL,61.6,38780000000.0,629545454.5454545,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,5403,President Of India,56.82,500108,MTNL,61.6,38780000000.0,629545454.5454545,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,5404,President Of India,56.25,500108,MTNL,61.6,38780000000.0,629545454.5454545,Dec 2023,01-12-2023,-1.003167898627244,Down
President Of India,5405,President Of India,56.25,500108,MTNL,61.6,38780000000.0,629545454.5454545,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,5406,President Of India,56.25,500108,MTNL,61.6,38780000000.0,629545454.5454545,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,27124,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Dec 2021,01-12-2021,0.72888888888889,UP
President Of India,27125,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,27126,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,27127,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,27128,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,27129,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,27130,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,27131,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,27132,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,27133,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,27134,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,27135,President Of India,56.66,533106,OIL,682.0,1108940000000.0,1626011730.2052786,Jul 2024,01-07-2024,0.0,EQUAL
President Of India,67000,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Sep 2021,01-09-2021,8.983409812919163,UP
President Of India,67001,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,67002,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,67003,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,67004,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,67005,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,67006,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,67007,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,67008,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,67009,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,67010,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,67011,President Of India,61.75,534309,NBCC,178.0,320740000000.0,1801910112.3595505,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,70298,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Sep 2021,01-09-2021,-14.20242914979758,Down
President Of India,70299,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,70300,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,70301,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,70302,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,70303,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,70304,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,70305,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,70306,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,70307,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,70308,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,70309,President Of India,52.98,500547,BPCL,352.0,1528240000000.0,4341590909.090909,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,75013,President Of India,96.5,543526,LICI,1061.0,6713040000000.0,6327087653.157398,Sep 2022,01-09-2022,82.14420536051341,UP
President Of India,75014,President Of India,96.5,543526,LICI,1061.0,6713040000000.0,6327087653.157398,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,75015,President Of India,96.5,543526,LICI,1061.0,6713040000000.0,6327087653.157398,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,75016,President Of India,96.5,543526,LICI,1061.0,6713040000000.0,6327087653.157398,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,75017,President Of India,96.5,543526,LICI,1061.0,6713040000000.0,6327087653.157398,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,75018,President Of India,96.5,543526,LICI,1061.0,6713040000000.0,6327087653.157398,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,75019,President Of India,96.5,543526,LICI,1061.0,6713040000000.0,6327087653.157398,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,75020,President Of India,96.5,543526,LICI,1061.0,6713040000000.0,6327087653.157398,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,90055,President Of India,96.38,532388,IOB,62.1,1173650000000.0,18899355877.616745,Dec 2021,01-12-2021,-0.12435233160622561,Down
President Of India,90056,President Of India,96.38,532388,IOB,62.1,1173650000000.0,18899355877.616745,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,90057,President Of India,96.38,532388,IOB,62.1,1173650000000.0,18899355877.616745,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,90058,President Of India,96.38,532388,IOB,62.1,1173650000000.0,18899355877.616745,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,90059,President Of India,96.38,532388,IOB,62.1,1173650000000.0,18899355877.616745,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,90060,President Of India,96.38,532388,IOB,62.1,1173650000000.0,18899355877.616745,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,90061,President Of India,96.38,532388,IOB,62.1,1173650000000.0,18899355877.616745,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,90062,President Of India,96.38,532388,IOB,62.1,1173650000000.0,18899355877.616745,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,90063,President Of India,96.38,532388,IOB,62.1,1173650000000.0,18899355877.616745,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,90064,President Of India,96.38,532388,IOB,62.1,1173650000000.0,18899355877.616745,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,90065,President Of India,96.38,532388,IOB,62.1,1173650000000.0,18899355877.616745,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,92597,President Of India,63.17,500103,BHEL,296.0,1031210000000.0,3483817567.567568,Sep 2021,01-09-2021,-34.45735629798713,Down
President Of India,92598,President Of India,63.17,500103,BHEL,296.0,1031210000000.0,3483817567.567568,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,92599,President Of India,63.17,500103,BHEL,296.0,1031210000000.0,3483817567.567568,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,92600,President Of India,63.17,500103,BHEL,296.0,1031210000000.0,3483817567.567568,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,92601,President Of India,63.17,500103,BHEL,296.0,1031210000000.0,3483817567.567568,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,92602,President Of India,63.17,500103,BHEL,296.0,1031210000000.0,3483817567.567568,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,92603,President Of India,63.17,500103,BHEL,296.0,1031210000000.0,3483817567.567568,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,92604,President Of India,63.17,500103,BHEL,296.0,1031210000000.0,3483817567.567568,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,92605,President Of India,63.17,500103,BHEL,296.0,1031210000000.0,3483817567.567568,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,92606,President Of India,63.17,500103,BHEL,296.0,1031210000000.0,3483817567.567568,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,92607,President Of India,63.17,500103,BHEL,296.0,1031210000000.0,3483817567.567568,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,92608,President Of India,63.17,500103,BHEL,296.0,1031210000000.0,3483817567.567568,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,102395,President Of India,66.14,513599,HINDCOPPER,316.0,305870000000.0,967943037.9746836,Sep 2021,01-09-2021,4.701598860218459,UP
President Of India,102396,President Of India,66.14,513599,HINDCOPPER,316.0,305870000000.0,967943037.9746836,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,102397,President Of India,66.14,513599,HINDCOPPER,316.0,305870000000.0,967943037.9746836,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,102398,President Of India,66.14,513599,HINDCOPPER,316.0,305870000000.0,967943037.9746836,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,102399,President Of India,66.14,513599,HINDCOPPER,316.0,305870000000.0,967943037.9746836,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,102400,President Of India,66.14,513599,HINDCOPPER,316.0,305870000000.0,967943037.9746836,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,102401,President Of India,66.14,513599,HINDCOPPER,316.0,305870000000.0,967943037.9746836,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,102402,President Of India,66.14,513599,HINDCOPPER,316.0,305870000000.0,967943037.9746836,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,102403,President Of India,66.14,513599,HINDCOPPER,316.0,305870000000.0,967943037.9746836,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,102404,President Of India,66.14,513599,HINDCOPPER,316.0,305870000000.0,967943037.9746836,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,102405,President Of India,66.14,513599,HINDCOPPER,316.0,305870000000.0,967943037.9746836,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,102406,President Of India,66.14,513599,HINDCOPPER,316.0,305870000000.0,967943037.9746836,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,106182,President Of India,81.41,532149,BANKINDIA,121.0,548870000000.0,4536115702.479339,Sep 2021,01-09-2021,23.087390384033867,UP
President Of India,106183,President Of India,81.41,532149,BANKINDIA,121.0,548870000000.0,4536115702.479339,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,106184,President Of India,81.41,532149,BANKINDIA,121.0,548870000000.0,4536115702.479339,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,106185,President Of India,81.41,532149,BANKINDIA,121.0,548870000000.0,4536115702.479339,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,106186,President Of India,81.41,532149,BANKINDIA,121.0,548870000000.0,4536115702.479339,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,106187,President Of India,81.41,532149,BANKINDIA,121.0,548870000000.0,4536115702.479339,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,106188,President Of India,81.41,532149,BANKINDIA,121.0,548870000000.0,4536115702.479339,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,106189,President Of India,81.41,532149,BANKINDIA,121.0,548870000000.0,4536115702.479339,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,106190,President Of India,81.41,532149,BANKINDIA,121.0,548870000000.0,4536115702.479339,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,106192,President Of India,73.38,532149,BANKINDIA,121.0,548870000000.0,4536115702.479339,Mar 2024,01-03-2024,-9.863653113868075,Down
President Of India,106193,President Of India,73.38,532149,BANKINDIA,121.0,548870000000.0,4536115702.479339,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,106468,President Of India,0.0,500483,TATACOMM,1927.0,549080000000.0,284940321.743643,Sep 2021,01-09-2021,-100.0,Down
President Of India,106472,President Of India,0.0,500483,TATACOMM,1927.0,549080000000.0,284940321.743643,Dec 2021,01-12-2021,,EQUAL
President Of India,106476,President Of India,0.0,500483,TATACOMM,1927.0,549080000000.0,284940321.743643,Mar 2022,01-03-2022,,EQUAL
President Of India,106480,President Of India,0.0,500483,TATACOMM,1927.0,549080000000.0,284940321.743643,Jun 2022,01-06-2022,,EQUAL
President Of India,106484,President Of India,0.0,500483,TATACOMM,1927.0,549080000000.0,284940321.743643,Sep 2022,01-09-2022,,EQUAL
President Of India,106488,President Of India,0.0,500483,TATACOMM,1927.0,549080000000.0,284940321.743643,Dec 2022,01-12-2022,,EQUAL
President Of India,106492,President Of India,0.0,500483,TATACOMM,1927.0,549080000000.0,284940321.743643,Mar 2023,01-03-2023,,EQUAL
President Of India,106496,President Of India,0.0,500483,TATACOMM,1927.0,549080000000.0,284940321.743643,Jun 2023,01-06-2023,,EQUAL
President Of India,106500,President Of India,0.0,500483,TATACOMM,1927.0,549080000000.0,284940321.743643,Sep 2023,01-09-2023,,EQUAL
President Of India,106504,President Of India,0.0,500483,TATACOMM,1927.0,549080000000.0,284940321.743643,Dec 2023,01-12-2023,,EQUAL
President Of India,106508,President Of India,0.0,500483,TATACOMM,1927.0,549080000000.0,284940321.743643,Mar 2024,01-03-2024,,EQUAL
President Of India,106512,President Of India,0.0,500483,TATACOMM,1927.0,549080000000.0,284940321.743643,Jun 2024,01-06-2024,,EQUAL
President Of India,113248,President Of India,54.03,543898,BLAL,275.0,11450000000.0,41636363.63636363,Jun 2023,01-06-2023,inf,UP
President Of India,113250,President Of India,54.03,543898,BLAL,275.0,11450000000.0,41636363.63636363,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,113251,President Of India,54.03,543898,BLAL,275.0,11450000000.0,41636363.63636363,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,113252,President Of India,54.03,543898,BLAL,275.0,11450000000.0,41636363.63636363,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,114955,President Of India,72.2,541556,RITES,652.0,156590000000.0,240168711.6564417,Sep 2021,01-09-2021,33.629465111974824,UP
President Of India,114956,President Of India,72.2,541556,RITES,652.0,156590000000.0,240168711.6564417,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,114957,President Of India,72.2,541556,RITES,652.0,156590000000.0,240168711.6564417,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,114958,President Of India,72.2,541556,RITES,652.0,156590000000.0,240168711.6564417,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,114959,President Of India,72.2,541556,RITES,652.0,156590000000.0,240168711.6564417,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,114960,President Of India,72.2,541556,RITES,652.0,156590000000.0,240168711.6564417,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,114961,President Of India,72.2,541556,RITES,652.0,156590000000.0,240168711.6564417,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,114962,President Of India,72.2,541556,RITES,652.0,156590000000.0,240168711.6564417,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,114963,President Of India,72.2,541556,RITES,652.0,156590000000.0,240168711.6564417,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,114964,President Of India,72.2,541556,RITES,652.0,156590000000.0,240168711.6564417,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,114965,President Of India,72.2,541556,RITES,652.0,156590000000.0,240168711.6564417,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,114966,President Of India,72.2,541556,RITES,652.0,156590000000.0,240168711.6564417,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,131496,President Of India,51.32,532178,ENGINERSIN,215.0,121090000000.0,563209302.3255814,Sep 2021,01-09-2021,-28.919667590027696,Down
President Of India,131497,President Of India,51.32,532178,ENGINERSIN,215.0,121090000000.0,563209302.3255814,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,131498,President Of India,51.32,532178,ENGINERSIN,215.0,121090000000.0,563209302.3255814,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,131499,President Of India,51.32,532178,ENGINERSIN,215.0,121090000000.0,563209302.3255814,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,131500,President Of India,51.32,532178,ENGINERSIN,215.0,121090000000.0,563209302.3255814,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,131501,President Of India,51.32,532178,ENGINERSIN,215.0,121090000000.0,563209302.3255814,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,131502,President Of India,51.32,532178,ENGINERSIN,215.0,121090000000.0,563209302.3255814,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,131503,President Of India,51.32,532178,ENGINERSIN,215.0,121090000000.0,563209302.3255814,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,131504,President Of India,51.32,532178,ENGINERSIN,215.0,121090000000.0,563209302.3255814,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,131505,President Of India,51.32,532178,ENGINERSIN,215.0,121090000000.0,563209302.3255814,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,131506,President Of India,51.32,532178,ENGINERSIN,215.0,121090000000.0,563209302.3255814,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,131507,President Of India,51.32,532178,ENGINERSIN,215.0,121090000000.0,563209302.3255814,Jun 2024,01-06-2024,0.0,EQUAL
