Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date
Siddharth Iyer,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2023,01-03-2023
FIIs,0.35,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2023,01-03-2023
DIIs,0.15,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2023,01-03-2023
Public,37.81,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2023,01-03-2023
Promoters,62.77,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2023,01-06-2023
Sundar Iyer,43.39,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2023,01-06-2023
Karthik Sundar,9.99,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2023,01-06-2023
Vanaja Sundar Iyer,7.81,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2023,01-06-2023
Ebrahim Y Rangoonwala,0.95,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2023,01-06-2023
Krishnan M,0.42,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2023,01-06-2023
Shridhar P Iyer,0.21,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2023,01-06-2023
Siddharth Iyer,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2023,01-06-2023
FIIs,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2023,01-06-2023
DIIs,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2023,01-06-2023
Public,37.23,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2023,01-06-2023
Promoters,62.77,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2023,01-09-2023
Sundar Iyer,43.39,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2023,01-09-2023
Karthik Sundar,9.99,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2023,01-09-2023
Vanaja Sundar Iyer,7.81,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2023,01-09-2023
Ebrahim Y Rangoonwala,0.95,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2023,01-09-2023
Krishnan M,0.42,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2023,01-09-2023
Shridhar P Iyer,0.21,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2023,01-09-2023
Siddharth Iyer,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2023,01-09-2023
FIIs,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2023,01-09-2023
DIIs,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2023,01-09-2023
Public,37.24,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Sep 2023,01-09-2023
Promoters,64.25,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2023,01-12-2023
Sundar Iyer,43.39,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2023,01-12-2023
Karthik Sundar,11.47,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2023,01-12-2023
Vanaja Sundar Iyer,7.81,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2023,01-12-2023
Ebrahim Y Rangoonwala,0.95,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2023,01-12-2023
Krishnan M,0.42,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2023,01-12-2023
Shridhar P Iyer,0.21,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2023,01-12-2023
Siddharth Iyer,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2023,01-12-2023
FIIs,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2023,01-12-2023
DIIs,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2023,01-12-2023
Public,35.76,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Dec 2023,01-12-2023
Promoters,64.25,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2024,01-03-2024
Sundar Iyer,43.39,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2024,01-03-2024
Karthik Sundar,11.47,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2024,01-03-2024
Vanaja Sundar Iyer,7.81,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2024,01-03-2024
Ebrahim Y Rangoonwala,0.95,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2024,01-03-2024
Krishnan M,0.42,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2024,01-03-2024
Shridhar P Iyer,0.21,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2024,01-03-2024
Siddharth Iyer,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2024,01-03-2024
FIIs,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2024,01-03-2024
DIIs,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2024,01-03-2024
Public,35.75,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Mar 2024,01-03-2024
Promoters,64.3,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2024,01-06-2024
Sundar Iyer,43.39,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2024,01-06-2024
Karthik Sundar,11.52,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2024,01-06-2024
Vanaja Sundar Iyer,7.81,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2024,01-06-2024
Ebrahim Y Rangoonwala,0.95,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2024,01-06-2024
Krishnan M,0.42,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2024,01-06-2024
Shridhar P Iyer,0.21,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2024,01-06-2024
Siddharth Iyer,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2024,01-06-2024
FIIs,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2024,01-06-2024
DIIs,0.0,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2024,01-06-2024
Public,35.71,526921,21STCENMGM,109.0,1150000000.0,10550458.71559633,Jun 2024,01-06-2024
